Taxon,TSN,Collecting,Calflora-Records,Common Name,Dispersal,Lifeform,Status,Family,start-bloom,end-bloom,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,,,,,,
Clarkia epilobioides,,,35 records,Willow herb clarkia,,Annual herb,native,ONAGRACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Clarkia purpurea,,,35 records,Purple clarkia,,Annual herb,native,ONAGRACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Clarkia purpurea ssp. quadrivulnera,,,37 records,Purple clarkia,,Annual herb,native,ONAGRACEAE,Apr,May,,,,X,X,,,,,,,,,,,,,,,
Clarkia unguiculata,,,108 records,Woodland clarkia,,Annual herb,native,ONAGRACEAE,Jun,Sep,,,,,,X,X,X,X,,,,,,,,,,,
Claytonia exigua,,,2 records,Little spring beauty,,Annual herb,native,MONTIACEAE,Feb,May,,X,X,X,X,,,,,,,,,,,,,,,
Claytonia exigua ssp. exigua,,,1 record,Viridis,,Annual herb,native,MONTIACEAE,Feb,May,,X,X,X,X,,,,,,,,,,,,,,,
Claytonia parviflora,,,2 records,Narrow leaved miner's lettuce,,Annual herb,native,MONTIACEAE,Feb,May,,X,X,X,X,,,,,,,,,,,,,,,
Claytonia parviflora ssp. parviflora,,,4 records,Miner'slettuce,,Annual herb,native,MONTIACEAE,Feb,May,,X,X,X,X,,,,,,,,,,,,,,,
Claytonia parviflora ssp. viridis,,,1 record,Green miner's lettuce,,Annual herb,native,MONTIACEAE,Apr,May,,,,X,X,,,,,,,,,,,,,,,
Claytonia perfoliata,,,54 records,Miner's lettuce,,Annual herb,native,MONTIACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Claytonia perfoliata ssp. mexicana,,,12 records,Southern miner's lettuce,,Annual herb,native,MONTIACEAE,Apr,May,,,,X,X,,,,,,,,,,,,,,,
Claytonia perfoliata ssp. perfoliata,,,5 records,Claytonia,,Annual herb,native,MONTIACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Clematis lasiantha,,,60 records,Pipestem,,"Perennial herb, Vine",native,RANUNCULACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Clematis ligusticifolia,,,24 records,Creek clematis,,"Perennial herb, Vine",native,RANUNCULACEAE,Mar,Jul,,,X,X,X,X,X,,,,,,,,,,,,,
Clematis pauciflora,,,5 records,Virgin's bower,,"Perennial herb, Vine",native,RANUNCULACEAE,Jan,Jun,X,X,X,X,X,X,,,,,,,,,,,,,,
Clinopodium douglasii,,,1 record,Yerba buena,,Perennial herb,native,LAMIACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Collinsia heterophylla,,,82 records,Chinese houses,,Annual herb,native,PLANTAGINACEAE,Feb,Apr,,X,X,X,,,,,,,,,,,,,,,,
Collinsia heterophylla var. heterophylla,,,1 record,Purple chinese houses,,Annual herb,native,PLANTAGINACEAE,Apr,May,,,,X,X,,,,,,,,,,,,,,,
Collinsia parryi,,,5 records,Parry's collinsia,,Annual herb,native,PLANTAGINACEAE,Feb,Apr,,X,X,X,,,,,,,,,,,,,,,,
Comarostaphylis diversifolia,,,6 records,Summer holly,,Shrub,native,ERICACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Comarostaphylis diversifolia ssp. diversifolia,,,1 record,California comarostaphylis,,Shrub,native,ERICACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Comarostaphylis diversifolia ssp. planifolia,,,26 records,Flat leaf summer holly,,Shrub,native,ERICACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Convolvulus simulans,,,7 records,Small flowered morning glory,,Annual herb,native,CONVOLVULACEAE,Mar,Jul,,,X,X,X,X,X,,,,,,,,,,,,,
Cordylanthus rigidus,,,9 records,Rigid bird's beak,,Annual herb,native,OROBANCHACEAE,Jul,Aug,,,,,,,X,X,,,,,,,,,,,,
Cordylanthus rigidus ssp. rigidus,,,2 records,Rigid bird's beak,,Annual herb,native,OROBANCHACEAE,Jul,Aug,,,,,,,X,X,,,,,,,,,,,,
Cordylanthus rigidus ssp. setiger,,,26 records,Bristly Bird's Beak,,Annual herb (hemiparasitic),native,OROBANCHACEAE,,,,,,,,,,,,,,,,,,,,,,
Corethrogyne filaginifolia var. filaginifolia,,,4 records,Common sandaster,,Perennial herb,native,ASTERACEAE,May,Aug,,,,,X,X,X,X,,,,,,,,,,,,
Cornus glabrata,,,4 records,Brown dogwood,,"Tree, Shrub",native,CORNACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Crassula aquatica,,,28 records,Aquatic pygmy weed,,Annual herb,native,CRASSULACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Crassula connata,,,2 records,Sand pygmy weed,,Annual herb,native,CRASSULACEAE,Feb,May,,X,X,X,X,,,,,,,,,,,,,,,
Cressa truxillensis,,,3 records,Alkali weed,,Perennial herb,native,CONVOLVULACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Crocanthemum scoparium,,X,51 records,Bisbee Peak Rushrose,,Shrub,native,CISTACEAE,,,,,,,,,,,,,,,,,,,,,,
Crocanthemum scoparium var. scoparium,,,12 records,Peak Rushrose,,Shrub,native,CISTACEAE,,,,,,,,,,,,,,,,,,,,,,
Crocanthemum scoparium var. vulgare,,,40 records,Peak Rushrose,,Shrub,native,CISTACEAE,,,,,,,,,,,,,,,,,,,,,,
Croton californicus,,,53 records,Desert croton,,Perennial herb,native,EUPHORBIACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Croton setiger,,,1 record,Turkey-mullein,,Annual herb,native,EUPHORBIACEAE,,,,,,,,,,,,,,,,,,,,,,
Cryptantha barbigera,,,36 records,Bearded cryptantha,,Annual herb,native,BORAGINACEAE,Feb,Jun,,X,X,X,X,X,,,,,,,,,,,,,,
Cryptantha clevelandii,,,1 record,Common cryptantha,,Annual herb,native,BORAGINACEAE,Mar,Jul,,,X,X,X,X,X,,,,,,,,,,,,,
Cryptantha clevelandii var. florosa,,,69 records,Coastal cryptantha,,Annual herb,native,BORAGINACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Cryptantha intermedia,,,1 record,Common cryptanth,,Annual herb,native,BORAGINACEAE,Mar,Aug,,,X,X,X,X,X,X,,,,,,,,,,,,
Cryptantha leiocarpa,,,1 record,Popcorn flower,,Annual herb,native,BORAGINACEAE,Apr,Aug,,,,X,X,X,X,X,,,,,,,,,,,,
Cryptantha micrantha,,,1 record,Purple root cryptantha,,Annual herb,native,BORAGINACEAE,Mar,Aug,,,X,X,X,X,X,X,,,,,,,,,,,,
Cryptantha micromeres,,,12 records,Small flowered cryptantha,,Annual herb,native,BORAGINACEAE,Jul,Jul,,,,,,,X,,,,,,,,,,,,,
Cryptantha microstachys,,,39 records,Tejon cryptantha,,Annual herb,native,BORAGINACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Cryptantha muricata,,,66 records,Prickly cryptantha,,Annual herb,native,BORAGINACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Cryptantha muricata var. muricata,,,1 record,Showy prickly-nut cryptantha,,Annual herb,native,BORAGINACEAE,Mar,Jul,,,X,X,X,X,X,,,,,,,,,,,,,
Cucurbita foetidissima,,,22 records,Missouri gourd,,"Perennial herb, Vine",native,CUCURBITACEAE,Apr,Sep,,,,X,X,X,X,X,X,,,,,,,,,,,
Cucurbita palmata,,,1 record,Coyote melon,,"Annual, Perennial herb",native,CUCURBITACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Cuscuta californica,,,19 records,California dodder,,"Annual herb, Vine (parasitic)",native,CONVOLVULACEAE,Feb,Aug,,X,X,X,X,X,X,X,,,,,,,,,,,,
Cuscuta californica var. californica,,,1 record,Short flowered dodder,,"Annual herb, Vine (parasitic)",native,CONVOLVULACEAE,Mar,Oct,,,X,X,X,X,X,X,X,X,,,,,,,,,,
Cuscuta californica var. papillosa,,,8 records,Papillate dodder,,"Annual herb, Vine (parasitic)",native,CONVOLVULACEAE,May,Oct,,,,,X,X,X,X,X,X,,,,,,,,,,
Cuscuta pacifica var. pacifica,,,3 records,Dodder,,"Annual herb, Vine (parasitic)",native,CONVOLVULACEAE,Feb,Aug,,X,X,X,X,X,X,X,,,,,,,,,,,,
Cuscuta salina,,,6 records,Saltmarsh dodder,,"Annual herb, Vine (parasitic)",native,CONVOLVULACEAE,Jul,Oct,,,,,,,X,X,X,X,,,,,,,,,,
Cuscuta subinclusa,,,26 records,Canyon dodder,,"Annual herb, Vine (parasitic)",native,CONVOLVULACEAE,Feb,Aug,,X,X,X,X,X,X,X,,,,,,,,,,,,
Cylindropuntia californica var. parkeri,,,,Brownspined pricklypear,,Perennial herb (stem succulent),native,CACTACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Cylindropuntia prolifera,,,8 records,Coastal cholla,,Shrub (stem succulent),native,CACTACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Cyperus eragrostis,,,19 records,Tall cyperus,,Perennial grasslike herb,native,CYPERACEAE,Jul,Nov,,,,,,,X,X,X,X,X,,,,,,,,,
Cyperus erythrorhizos,,,4 records,Red rooted cyperus,,Annual grasslike herb,native,CYPERACEAE,Aug,Sep,,,,,,,,X,X,,,,,,,,,,,
Cyperus niger,,,1 record,Brown cyperus,,Perennial grasslike herb,native,CYPERACEAE,Jul,Aug,,,,,,,X,X,,,,,,,,,,,,
Cyperus odoratus,,,8 records,Fragrant flatsedge,,Annual grasslike herb,native,CYPERACEAE,May,Sep,,,,,X,X,X,X,X,,,,,,,,,,,
Darmera peltata,,,1 record,Umbrella plant,,Perennial herb,native,SAXIFRAGACEAE,Apr,Sep,,,,X,X,X,X,X,X,,,,,,,,,,,
Datisca glomerata,,,23 records,Durango root,,Perennial herb,native,DATISCACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Datura wrightii,,,37 records,Jimsonweed,,Perennial herb,native,SOLANACEAE,Feb,Oct,,X,X,X,X,X,X,X,X,X,,,,,,,,,,
Daucus pusillus,,,39 records,Wild carrot,,Annual herb,native,APIACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Deinandra minthornii,,,23 records,Santa susana tarplant,,Shrub,native,ASTERACEAE,Jul,Nov,,,,,,,X,X,X,X,X,,,,,,,,,
Delphinium bakeri,,,1 record,Baker's larkspur,,Perennial herb,native,RANUNCULACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Delphinium cardinale,,,60 records,Scarlet larkspur,,Perennial herb,native,RANUNCULACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Delphinium parryi,,,60 records,San bernardino larkspur,,Perennial herb,native,RANUNCULACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Delphinium parryi ssp. blochmaniae,,,2 records,Dune larkspur,,Perennial herb,native,RANUNCULACEAE,Mar,Apr,,,X,X,,,,,,,,,,,,,,,,
Delphinium parryi ssp. maritimum,,,8 records,Seaside larkspur,,Perennial herb,native,RANUNCULACEAE,Apr,May,,,,X,X,,,,,,,,,,,,,,,
Delphinium parryi ssp. parryi,,,22 records,San bernardino larkspur,,Perennial herb,native,RANUNCULACEAE,Mar,Apr,,,X,X,,,,,,,,,,,,,,,,
Delphinium patens,,,27 records,Spreading larkspur,,Perennial herb,native,RANUNCULACEAE,Apr,May,,,,X,X,,,,,,,,,,,,,,,
Delphinium patens ssp. hepaticoideum,,,20 records,Spreading larkspur,,Perennial herb,native,RANUNCULACEAE,Apr,May,,,,X,X,,,,,,,,,,,,,,,
Dendromecon harfordii,,,2 records,Channel Island tree poppy,,Shrub,native,PAPAVERACEAE,Feb,May,,X,X,X,X,,,,,,,,,,,,,,,
Dendromecon rigida,,,70 records,Bush poppy,,Shrub,native,PAPAVERACEAE,Mar,Nov,,,X,X,X,X,X,X,X,X,X,,,,,,,,,
Descurainia pinnata,,,14 records,Yellow tansy mustard,,Annual herb,native,BRASSICACEAE,Feb,Jun,,X,X,X,X,X,,,,,,,,,,,,,,
Descurainia pinnata ssp. halictorum,,,1 record,Alkali western tansy mustard,,Annual herb,native,BRASSICACEAE,Feb,Jun,,X,X,X,X,X,,,,,,,,,,,,,,
Descurainia pinnata ssp. menziesii,,,3 records,Menzies' tansy mustard,,Annual herb,native,BRASSICACEAE,Feb,Jun,,X,X,X,X,X,,,,,,,,,,,,,,
Dichelostemma capitatum,,,87 records,Blue dicks,,Perennial herb,native,THEMIDACEAE,Feb,Apr,,X,X,X,,,,,,,,,,,,,,,,
Dichelostemma capitatum ssp. capitatum,,,23 records,Wild hyacinth,,Perennial herb,native,THEMIDACEAE,Feb,Apr,,X,X,X,,,,,,,,,,,,,,,,
Dichondra occidentalis,,,8 records,Western dichondra,,Perennial herb (rhizomatous),native,CONVOLVULACEAE,Mar,Jul,,,X,X,X,X,X,,,,,,,,,,,,,
Diplacus brevipes,,,70 records,Wide throated yellow monkeyflower,,Annual herb,native,PHRYMACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Diplacus puniceus,,,1 record,Sticky monkeyflower,,Shrub,native,PHRYMACEAE,Mar,Aug,,,X,X,X,X,X,X,,,,,,,,,,,,
Diplacus rutilus,,,1 record,,,Annual herb,native,PHRYMACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Distichlis littoralis,,,1 record,Shore grass,,Perennial grass,native,POACEAE,Jul,Aug,,,,,,,X,X,,,,,,,,,,,,
Distichlis spicata,,,25 records,Salt grass,,Perennial grass,native,POACEAE,Apr,Aug,,,,X,X,X,X,X,,,,,,,,,,,,
Dithyrea maritima,,,1 record,Beach spectaclepod,,Perennial herb (rhizomatous),native,BRASSICACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Draba cuneifolia,,,5 records,Wedge leaved draba,,Annual herb,native,BRASSICACEAE,Jan,May,X,X,X,X,X,,,,,,,,,,,,,,,
Drymocallis glandulosa,,,22 records,Sticky cinquefoil,,Perennial herb,native,ROSACEAE,Apr,Sep,,,,X,X,X,X,X,X,,,,,,,,,,,
Drymocallis glandulosa var. glandulosa,,,16 records,Sticky cinquefoil,,Perennial herb,native,ROSACEAE,Apr,Sep,,,,X,X,X,X,X,X,,,,,,,,,,,
Drymocallis glandulosa var. wrangelliana,,,2 records,Sticky cinquefoil,,Perennial herb,native,ROSACEAE,Apr,Sep,,,,X,X,X,X,X,X,,,,,,,,,,,
Dryopteris arguta,,,152 records,Wood fern,,Fern,native,DRYOPTERIDACEAE,,,,,,,,,,,,,,,,,,,,,,
Dudleya blochmaniae,,,10 records,Blochman's dudleya,,Perennial herb,native,CRASSULACEAE,Mar,Apr,,,X,X,,,,,,,,,,,,,,,,
Dudleya blochmaniae ssp. blochmaniae,,,11 records,Blochman's dudleya,,Perennial herb,native,CRASSULACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Dudleya caespitosa,,,14 records,Sand lettuce,,Perennial herb,native,CRASSULACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Dudleya cymosa,,,11 records,Rock lettuce,,Perennial herb,native,CRASSULACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Dudleya cymosa ssp. agourensis,,,8 records,Canyon liveforever,,Perennial herb,native,CRASSULACEAE,Mar,Jul,,,X,X,X,X,X,,,,,,,,,,,,,
Dudleya cymosa ssp. cymosa,,,2 records,Canyon dudleya,,Perennial herb,native,CRASSULACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Dudleya cymosa ssp. marcescens,,,24 records,Marcescent dudleya,,Perennial herb,native,CRASSULACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Dudleya cymosa ssp. ovatifolia,,,20 records,Santa monica mtns. dudleya,,Perennial herb,native,CRASSULACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Dudleya cymosa ssp. pumila,,,1 record,Low canyon dudleya,,Perennial herb,native,CRASSULACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Dudleya farinosa,,,1 record,Sea lettuce,,Perennial herb,native,CRASSULACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Dudleya lanceolata,,,108 records,Southern california dudleya,,Perennial herb,native,CRASSULACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Dudleya multicaulis,,,4 records,Many stemmed dudleya,,Perennial herb,native,CRASSULACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Dudleya palmeri,,,5 records,Palmer's dudleya,,Perennial herb,native,CRASSULACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Dudleya pulverulenta,,,55 records,Chalk dudleya,,Perennial herb,native,CRASSULACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Dudleya verityi,,,8 records,Verity's dudleya,,Perennial herb,native,CRASSULACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Echinodorus berteroi,,,7 records,Burhead,,Perennial herb (aquatic),native,ALISMATACEAE,,,,,,,,,,,,,,,,,,,,,,
Eclipta prostrata,,,11 records,False daisy,,Annual herb,native,ASTERACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Ehrendorferia chrysantha,,,1 record,Golden eardrops,,Perennial herb,native,PAPAVERACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Eleocharis macrostachya,,,11 records,Spike rush,,Perennial grasslike herb,native,CYPERACEAE,,,,,,,,,,,,,,,,,,,,,,
Eleocharis montevidensis,,,14 records,Montevideo spike rush,,Perennial grasslike herb,native,CYPERACEAE,,,,,,,,,,,,,,,,,,,,,,
Eleocharis palustris,,,2 records,Common spikerush,,Perennial grasslike herb,native,CYPERACEAE,,,,,,,,,,,,,,,,,,,,,,
Eleocharis parishii,,,3 records,Parish's spike rush,,Perennial grasslike herb,native,CYPERACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Elymus cinereus,,,1 record,Great basin wild rye,,Perennial grass,native,POACEAE,Jun,Jul,,,,,,X,X,,,,,,,,,,,,,
Elymus glaucus ssp. glaucus,,,17 records,Blue wild rye,,Perennial grass,native,POACEAE,May,Aug,,,,,X,X,X,X,,,,,,,,,,,,
Elymus multisetus,,,5 records,Big squirreltail grass,,Perennial grass,native,POACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Elymus stebbinsii,,,6 records,Stebbins' wildrye,,Perennial grass,native,POACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Elymus trachycaulus ssp. trachycaulus,,,1 record,Slender wheatgrass,,Perennial grass,native,POACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Emmenanthe penduliflora,,,69 records,Whispering bells,,Annual herb,native,BORAGINACEAE,Feb,May,,X,X,X,X,,,,,,,,,,,,,,,
Emmenanthe penduliflora var. penduliflora,,,13 records,Whispering bells,,Annual herb,native,BORAGINACEAE,Feb,Jun,,X,X,X,X,X,,,,,,,,,,,,,,
Encelia farinosa,,,,Brittlebush,,Shrub,native,ASTERACEAE,Feb,Jun,,X,X,X,X,X,,,,,,,,,,,,,,
Enneapogon desvauxii,,,1 record,Nine awned pappus grass,,Perennial grass,native,POACEAE,Aug,Sep,,,,,,,,X,X,,,,,,,,,,,
Epilobium brachycarpum,,,10 records,Willow herb,,Annual herb,native,ONAGRACEAE,Aug,Oct,,,,,,,,X,X,X,,,,,,,,,,
Epilobium canum ssp. canum,,,41 records,California fuchsia,,Perennial herb,native,ONAGRACEAE,Jun,Oct,,,,,,X,X,X,X,X,,,,,,,,,,
Epilobium canum ssp. latifolium,,,2 records,California fushia,,Perennial herb,native,ONAGRACEAE,Jun,Sep,,,,,,X,X,X,X,,,,,,,,,,,
Epilobium ciliatum,,,6 records,Slender willow herb,,Perennial herb,native,ONAGRACEAE,Aug,Oct,,,,,,,,X,X,X,,,,,,,,,,
Epilobium ciliatum ssp. ciliatum,,,11 records,Willow herb,,Perennial herb,native,ONAGRACEAE,Jun,Oct,,,,,,X,X,X,X,X,,,,,,,,,,
Epipactis gigantea,,,34 records,Stream orchid,,Perennial herb,native,ORCHIDACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Equisetum arvense,,,1 record,Common horsetail,,Fern,native,EQUISETACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Equisetum hyemale,,,4 records,Scouringrush horsetail,,Fern,native,EQUISETACEAE,,,,,,,,,,,,,,,,,,,,,,
Equisetum hyemale ssp. affine,,,8 records,Giant scouring rush,,Fern,native,EQUISETACEAE,,,,,,,,,,,,,,,,,,,,,,
Equisetum laevigatum,,,38 records,Smooth scouring rush,,Fern,native,EQUISETACEAE,,,,,,,,,,,,,,,,,,,,,,
Equisetum telmateia,,,25 records,Giant horsetail,,Fern,native,EQUISETACEAE,Feb,Mar,,X,X,,,,,,,,,,,,,,,,,
Equisetum telmateia ssp. braunii,,,20 records,Giant horsetail,,Fern,native,EQUISETACEAE,,,,,,,,,,,,,,,,,,,,,,
Equisetum Xferrissii,,,5 records,Ferris' horsetail,,Fern,native,EQUISETACEAE,,,,,,,,,,,,,,,,,,,,,,
Eragrostis hypnoides,,,4 records,Teal lovegrass,,Annual grass,native,POACEAE,May,Sep,,,,,X,X,X,X,X,,,,,,,,,,,
Eragrostis mexicana,,,2 records,Mexican lovegrass,,Annual grass,native,POACEAE,May,Oct,,,,,X,X,X,X,X,X,,,,,,,,,,
Eragrostis mexicana ssp. virescens,,,3 records,Orcutt's eragrostis,,Annual grass,native,POACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Eragrostis pectinacea var. miserrima,,,1 record,Desert lovegrass,,Annual grass,native,POACEAE,Jul,Nov,,,,,,,X,X,X,X,X,,,,,,,,,
Eragrostis pectinacea var. pectinacea,,,1 record,Tufted lovegrass,,Annual grass,native,POACEAE,Jul,Nov,,,,,,,X,X,X,X,X,,,,,,,,,
Eremothera boothii,,,9 records,Booth's sun cup,,Annual herb,native,ONAGRACEAE,May,Aug,,,,,X,X,X,X,,,,,,,,,,,,
Eremothera boothii ssp. decorticans,,,1 record,Shredding evening-primrose,,Annual herb,native,ONAGRACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Eriastrum filifolium,,,2 records,Lavender eriastrum,,Annual herb,native,POLEMONIACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Eriastrum sapphirinum,,,29 records,Sapphire eriastrum,,Annual herb,native,POLEMONIACEAE,May,Aug,,,,,X,X,X,X,,,,,,,,,,,,
Eriastrum sapphirinum ssp. dasyanthum,,,3 records,Sapphire woollystar,,Annual herb,native,POLEMONIACEAE,May,Aug,,,,,X,X,X,X,,,,,,,,,,,,
Eriastrum sapphirinum ssp. sapphirinum,,,1 record,Sapphire woollystar,,Annual herb,native,POLEMONIACEAE,May,Aug,,,,,X,X,X,X,,,,,,,,,,,,
Eriastrum virgatum,,,3 records,Virgate eriastrum,,Annual herb,native,POLEMONIACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Ericameria cooperi,,,1 record,Cooper's goldenbush,,Shrub,native,ASTERACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Ericameria ericoides,,,15 records,Mock heather,,Shrub,native,ASTERACEAE,Feb,May,,X,X,X,X,,,,,,,,,,,,,,,
Ericameria linearifolia,,,8 records,Interior goldenbush,,Shrub,native,ASTERACEAE,Sep,Nov,,,,,,,,,X,X,X,,,,,,,,,
Ericameria nauseosa,,,7 records,Rubber rabbitbrush,,Shrub,native,ASTERACEAE,Sep,Nov,,,,,,,,,X,X,X,,,,,,,,,
Ericameria nauseosa var. mohavensis,,,1 record,Mojave rabbitbrush,,Shrub,native,ASTERACEAE,Jul,Oct,,,,,,,X,X,X,X,,,,,,,,,,
Ericameria palmeri var. pachylepis,,,8 records,Broad scaled palmer's goldenbush,,Shrub,native,ASTERACEAE,Jul,Oct,,,,,,,X,X,X,X,,,,,,,,,,
Ericameria palmeri var. palmeri,,,3 records,Palmer's goldenbush,,Shrub,native,ASTERACEAE,Jul,Oct,,,,,,,X,X,X,X,,,,,,,,,,
Ericameria parishii,,,2 records,Parish's rabbitbrush,,Shrub,native,ASTERACEAE,Sep,Nov,,,,,,,,,X,X,X,,,,,,,,,
Ericameria parishii var. parishii,,,2 records,Parish's goldenbush,,Shrub,native,ASTERACEAE,Sep,Nov,,,,,,,,,X,X,X,,,,,,,,,
Ericameria pinifolia,,,3 records,Pine bush,,Shrub,native,ASTERACEAE,Jul,Oct,,,,,,,X,X,X,X,,,,,,,,,,
Erigeron canadensis,,,60 records,Canada horseweed,,Annual herb,native,ASTERACEAE,Jun,Sep,,,,,,X,X,X,X,,,,,,,,,,,
Erigeron foliosus,,,32 records,Leafy daisy,,Perennial herb,native,ASTERACEAE,May,Sep,,,,,X,X,X,X,X,,,,,,,,,,,
Erigeron foliosus var. foliosus,,,24 records,Thread stemmed fleabane,,"Perennial herb, Shrub",native,ASTERACEAE,May,Sep,,,,,X,X,X,X,X,,,,,,,,,,,
Eriodictyon crassifolium,,,17 records,Thick leaved yerba santa,,Shrub,native,BORAGINACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Eriodictyon crassifolium var. crassifolium,,,3 records,Thick leaved yerba santa,,Shrub,native,BORAGINACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Eriodictyon crassifolium var. nigrescens,,,4 records,Thick leaved yerba santa,,Shrub,native,BORAGINACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Eriodictyon trichocalyx,,,1 record,Hairy yerba santa,,Shrub,native,BORAGINACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Eriogonum angulosum,,,2 records,Angled stem buckwheat,,Annual herb,native,POLYGONACEAE,Jan,Dec,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Eriogonum cithariforme var. agninum,,,1 record,Cithara buckwheat,,Annual herb,native,POLYGONACEAE,Jan,Dec,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Eriogonum crocatum,,,34 records,Conejo buckwheat,,Perennial herb,native,POLYGONACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Eriogonum elongatum var. elongatum,,,26 records,Long stemmed buckwheat,,Perennial herb,native,POLYGONACEAE,Jan,Dec,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Eriogonum fasciculatum var. fasciculatum,,,19 records,California buckwheat,,Shrub,native,POLYGONACEAE,May,Aug,,,,,X,X,X,X,,,,,,,,,,,,
Eriogonum fasciculatum var. foliolosum,,,24 records,California buckwheat,,Shrub,native,POLYGONACEAE,May,Oct,,,,,X,X,X,X,X,X,,,,,,,,,,
Eriogonum fasciculatum var. polifolium,,,2 records,California buckwheat,,Shrub,native,POLYGONACEAE,Sep,Nov,,,,,,,,,X,X,X,,,,,,,,,
Eriogonum giganteum,,,5 records,St. Catherine's lace,,Shrub,native,POLYGONACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Eriogonum giganteum var. giganteum,,,1 record,Santa catalina island buckwheat,,Shrub,native,POLYGONACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Eriogonum gracile,,,8 records,Slender buckwheat,,Annual herb,native,POLYGONACEAE,Mar,Oct,,,X,X,X,X,X,X,X,X,,,,,,,,,,
Eriogonum gracile var. gracile,,,5 records,Slender buckwheat,,Annual herb,native,POLYGONACEAE,May,Sep,,,,,X,X,X,X,X,,,,,,,,,,,
