Taxon,TSN,Collecting,Calflora-Records,Common Name,Dispersal,Lifeform,Status,Family,start-bloom,end-bloom,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,,,,,,
Rubus ursinus,,X,76 records,California blackberry,,"Vine, Shrub",native,ROSACEAE,Feb,May,,X,X,X,X,,,,,,,,,,,,,,,
Salix lasiolepis,,X,103 records,Arroyo willow,,"Tree, Shrub",native,SALICACEAE,Feb,Mar,,X,X,,,,,,,,,,,,,,,,,
Salvia leucophylla,,X,146 records,Purple sage,,Shrub,native,LAMIACEAE,Feb,Jul,,X,X,X,X,X,X,,,,,,,,,,,,,
Salvia mellifera,,X,187 records,Black sage,,Shrub,native,LAMIACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Salvia spathacea,,X,129 records,Hummingbird sage,,Perennial herb,native,LAMIACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Sambucus nigra,,X,66 records,Black elderberry,,Shrub,native,ADOXACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Solanum douglasii,,X,76 records,Douglas' nightshade,,Perennial herb,native,SOLANACEAE,Mar,Jul,,,X,X,X,X,X,,,,,,,,,,,,,
Solanum xanti,,X,146 records,Nightshade,,"Perennial herb, Shrub",native,SOLANACEAE,Mar,Nov,,,X,X,X,X,X,X,X,X,X,,,,,,,,,
Stipa lepida,,X,60 records,Foothill needle grass,,Perennial grass,native,POACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Stipa pulchra,,X,57 records,Purple needle grass,,Perennial grass,native,POACEAE,Apr,Aug,,,,X,X,X,X,X,,,,,,,,,,,,
Umbellularia californica,,X,83 records,California bay,,Tree,native,LAURACEAE,Nov,May,X,X,X,X,,,,,,,X,X,,,,,,,,
Venegasia carpesioides,,X,162 records,Canyon sunflower,,Perennial herb,native,ASTERACEAE,Feb,May,,X,X,X,X,,,,,,,,,,,,,,,
Abronia maritima,,,17 records,Sticky sand verbena,,Perennial herb,native,NYCTAGINACEAE,Jan,Dec,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Abronia umbellata,,,25 records,Beach sand verbena,,Perennial herb,native,NYCTAGINACEAE,Feb,Dec,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Abronia umbellata var. umbellata,,,4 records,Beach sand verbena,,Perennial herb,native,NYCTAGINACEAE,Jan,Dec,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Acer macrophyllum,,,39 records,Bigleaf maple,,Tree,native,SAPINDACEAE,Apr,May,,,,X,X,,,,,,,,,,,,,,,
Acer negundo,,,7 records,Boxelder,,Tree,native,SAPINDACEAE,Feb,Mar,,X,X,,,,,,,,,,,,,,,,,
Achyrachaena mollis,,,13 records,Blow wives,,Annual herb,native,ASTERACEAE,Apr,May,,,,X,X,,,,,,,,,,,,,,,
Acmispon americanus,,,23 records,American bird's foot trefoil,,Annual herb,native,FABACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Acmispon americanus var. americanus,,,12 records,Spanish lotus,,Annual herb,native,FABACEAE,Mar,Apr,,,X,X,,,,,,,,,,,,,,,,
Acmispon argophyllus,,,8 records,Silver birds foot trefoil,,Perennial herb,native,FABACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Acmispon argophyllus var. argophyllus,,,9 records,Southern california silver lotus,,Perennial herb,native,FABACEAE,Mar,Aug,,,X,X,X,X,X,X,,,,,,,,,,,,
Acmispon glaber var. glaber,,,37 records,Deerweed,,Perennial herb,native,FABACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Acmispon grandiflorus,,,33 records,Large leaved lotus,,Perennial herb,native,FABACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Acmispon grandiflorus var. grandiflorus,,,7 records,Chaparral lotus,,Perennial herb,native,FABACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Acmispon junceus,,,1 record,Rush lotus,,Perennial herb,native,FABACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Acmispon maritimus,,,64 records,Coastal lotus,,Annual herb,native,FABACEAE,Feb,Jun,,X,X,X,X,X,,,,,,,,,,,,,,
Acmispon maritimus var. maritimus,,,17 records,Coastal lotus,,Annual herb,native,FABACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Acmispon micranthus,,,12 records,Small flowered lotus,,Annual herb,native,FABACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Acmispon nevadensis var. davidsonii,,,,Davidson's sierra nevada lotus,,Perennial herb,native,FABACEAE,May,Aug,,,,,X,X,X,X,,,,,,,,,,,,
Acmispon procumbens,,,2 records,Silky california broom,,"Perennial herb, Shrub",native,FABACEAE,Mar,Jul,,,X,X,X,X,X,,,,,,,,,,,,,
Acmispon procumbens var. procumbens,,,1 record,Silky california broom,,"Perennial herb, Shrub",native,FABACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Acmispon strigosus,,,30 records,Strigose lotus,,Annual herb,native,FABACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Acmispon wrangelianus,,,19 records,Chilean trefoil,,Annual herb,native,FABACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Acourtia microcephala,,,58 records,Sacapellote,,Perennial herb,native,ASTERACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Adenostoma fasciculatum,,,140 records,Chamise,,"Tree, Shrub",native,ROSACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Adenostoma fasciculatum var. fasciculatum,,,13 records,Chamise,,"Tree, Shrub",native,ROSACEAE,Jul,Sep,,,,,,,X,X,X,,,,,,,,,,,
Adenostoma sparsifolium,,,71 records,Red shanks,,Tree,native,ROSACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Adiantum capillus-veneris,,,41 records,Maidenhair fern,,Fern,native,PTERIDACEAE,,,,,,,,,,,X,X,X,,,,,,,,,
Adiantum jordanii,,,127 records,California maidenhair fern,,Fern,native,PTERIDACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Adolphia californica,,,1 record,California adolphia,,Shrub,native,RHAMNACEAE,Dec,May,X,X,X,X,X,,,,,,,X,,,,,,,,
Agoseris grandiflora,,,24 records,Giant mountain dandelion,,Perennial herb,native,ASTERACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
